PATH,NAME
/Server/ServerCapabilities/HistoryServerCapabilities/ReplaceEventCapability,ReplaceEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/UpdateEventCapability,UpdateEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/DeleteEventCapability,DeleteEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/InsertAnnotationCapability,InsertAnnotationCapability
/Server/ServerCapabilities/HistoryServerCapabilities/AccessHistoryDataCapability,AccessHistoryDataCapability
/Server/ServerCapabilities/HistoryServerCapabilities/AccessHistoryEventsCapability,AccessHistoryEventsCapability
/Server/ServerCapabilities/HistoryServerCapabilities/MaxReturnDataValues,MaxReturnDataValues
/Server/ServerCapabilities/HistoryServerCapabilities/MaxReturnEventValues,MaxReturnEventValues
/Server/ServerCapabilities/HistoryServerCapabilities/InsertDataCapability,InsertDataCapability
/Server/ServerCapabilities/HistoryServerCapabilities/ReplaceDataCapability,ReplaceDataCapability
/Server/ServerCapabilities/HistoryServerCapabilities/UpdateDataCapability,UpdateDataCapability
/Server/ServerCapabilities/HistoryServerCapabilities/DeleteRawCapability,DeleteRawCapability
/Server/ServerCapabilities/HistoryServerCapabilities/DeleteAtTimeCapability,DeleteAtTimeCapability
/Server/ServerCapabilities/HistoryServerCapabilities/InsertEventCapability,InsertEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/ReplaceEventCapability,ReplaceEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/UpdateEventCapability,UpdateEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/DeleteEventCapability,DeleteEventCapability
/Server/ServerCapabilities/HistoryServerCapabilities/InsertAnnotationCapability,InsertAnnotationCapability
/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionDiagnosticsArray,SessionDiagnosticsArray
/Server/ServerDiagnostics/SessionsDiagnosticsSummary/SessionSecurityDiagnosticsArray,SessionSecurityDiagnosticsArray
/Server/Namespaces/http://opcfoundation.org/UA//NamespaceUri,NamespaceUri
/Server/Namespaces/http://opcfoundation.org/UA//NamespaceVersion,NamespaceVersion
/Server/Namespaces/http://opcfoundation.org/UA//NamespacePublicationDate,NamespacePublicationDate
/Server/Namespaces/http://opcfoundation.org/UA//IsNamespaceSubset,IsNamespaceSubset
/Server/Namespaces/http://opcfoundation.org/UA//StaticNodeIdTypes,StaticNodeIdTypes
/Server/Namespaces/http://opcfoundation.org/UA//StaticNumericNodeIdRange,StaticNumericNodeIdRange
/Server/Namespaces/http://opcfoundation.org/UA//StaticStringNodeIdPattern,StaticStringNodeIdPattern
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/CertificateTypes,CertificateTypes
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/CertificateTypes,CertificateTypes
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/CertificateTypes,CertificateTypes
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/Size,Size
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/Writable,Writable
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/UserWritable,UserWritable
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/OpenCount,OpenCount
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/Open,Open
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/Close,Close
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/Read,Read
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/Write,Write
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/GetPosition,GetPosition
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/SetPosition,SetPosition
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/LastUpdateTime,LastUpdateTime
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/OpenWithMasks,OpenWithMasks
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/CloseAndUpdate,CloseAndUpdate
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/AddCertificate,AddCertificate
/Server/ServerConfiguration/CertificateGroups/DefaultUserTokenGroup/TrustList/RemoveCertificate,RemoveCertificate
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/Size,Size
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/Writable,Writable
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/UserWritable,UserWritable
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/OpenCount,OpenCount
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/Open,Open
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/Close,Close
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/Read,Read
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/Write,Write
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/GetPosition,GetPosition
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/SetPosition,SetPosition
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/LastUpdateTime,LastUpdateTime
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/OpenWithMasks,OpenWithMasks
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/CloseAndUpdate,CloseAndUpdate
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/AddCertificate,AddCertificate
/Server/ServerConfiguration/CertificateGroups/DefaultHttpsGroup/TrustList/RemoveCertificate,RemoveCertificate
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Size,Size
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Writable,Writable
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/UserWritable,UserWritable
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/OpenCount,OpenCount
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Open,Open
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Close,Close
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Read,Read
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Write,Write
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/GetPosition,GetPosition
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/SetPosition,SetPosition
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/LastUpdateTime,LastUpdateTime
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/OpenWithMasks,OpenWithMasks
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/CloseAndUpdate,CloseAndUpdate
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/AddCertificate,AddCertificate
/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/RemoveCertificate,RemoveCertificate
